French,MOSSI
" 12  Après la déportation à Babylone, Yekonia devint père de Shéaltiel+ ;Shéaltiel devint père de Zorobabel+ ;","12  B sẽn yõg-b n kẽng Babilonnã poore, a Zekoniya roga a Seyatiyɛlle,t’a Seyatiyɛll rog a Zorobabɛlle,"
13  Zorobabel devint père d’Abioud ;Abioud devint père d’Éliaqim ;Éliaqim devint père d’Azor ;,"13  t’a Zorobabɛll rog a Abiyuudi,t’a Abiyuud rog a Eliyakim,t’a Eliyakim rog a Azoore,"
14  Azor devint père de Tsadoq ;Tsadoq devint père d’Akim ;Akim devint père d’Élioud ;,"14  t’a Azoor dog a Sadoke,t’a Sadok rog a Akim,t’a Akim rog a Eliyuudi,"
15  Élioud devint père d’Éléazar ;Éléazar devint père de Matthân ;Matthân devint père de Jacob ;,"15  t’a Eliyuud rog a Eleazaare,t’a Eleazaar dog a Matã,t’a Matã rog a Zakoobe,"
"16  Jacob devint père de Joseph l’époux de Marie, de laquelle est né Jésus+, qui est appelé Christ+. ",16  t’a Zakoob rog a Zozɛf sẽn yaa a Maari sɩdã. Yaa Maari-kãng la sẽn dog a Zeezi b sẽn boond tɩ Kiristã. 
"17  Toutes les générations, depuis Abraham jusqu’à David, furent donc quatorze générations, et depuis David jusqu’à la déportation à Babylone, quatorze générations, et depuis la déportation à Babylone jusqu’au Christ, quatorze générations. ","17  Rẽnd sẽn sɩng ne a Abrahaam n tãag a Davɩɩde, yɩɩ zãmaan piig la a naase, tɩ sẽn sɩng ne a Davɩɩd n tãag b sẽn na n yõg Zʋɩf-rãmbã n kẽng yembd Babilonnã yɩ zãmaan piig la a naase. B sẽn yõg-b n kẽng Babilonnã n tãag Kiristã me yɩɩ zãmaan piig la a naase. "
"18  Mais la naissance de Jésus Christ arriva ainsi. À l’époque où sa mère Marie était promise+ en mariage à Joseph, elle se trouva enceinte de par [l’]esprit saint+ avant leur union.","18  Ad a Zeezi Kirist rogmã sẽn yɩ to-to: B ra rɩka b ma a Maari n kõ a Zozɛf t’a na n maan a paga, la nand tɩ b kẽ kãadem, a rɩka pʋg ne vʋʋsem sõngã* pãnga."
"19  Cependant Joseph son mari, parce qu’il était juste et ne voulait pas la donner publiquement en spectacle+, se proposa de divorcer*+ d’avec elle en secret.","19  La a sɩd a Zozɛf sẽn yaa nin-tɩrga, n pa rat n ning-a yãnd nebã nifẽ wã yĩnga, a ra magdame n na n soos n bas-a."
"20  Mais après qu’il eut réfléchi à ces choses, voyez, l’ange de Jéhovah* lui apparut en rêve et dit : “ Joseph, fils de David, n’aie pas peur de prendre chez toi Marie ta femme, car ce qui a été engendré en elle est de par [l’]esprit saint+.","20  A sẽn tags bõn-kãensã yell n sa n gũsi, a Zeova* malɛk n vẽneg a meng ne-a zãmsd pʋgẽ n yeel-a: “Zozɛfe, Davɩɩd biiga. Kẽng n tɩ peeg f pag a Maari la f ra zoe rabeem ye. Bala, pʋgã a sẽn tʋtã* tũu ne vʋʋsem sõng pãnga."
"21  Elle mettra au monde un fils, et tu devras l’appeler du nom de Jésus*+, car il sauvera+ son peuple+ de ses péchés+. ”","21  A na n doga bi-ribla, la f tog n pʋda a yʋʋr t’a Zeezi.* Bala, a na n fãaga a nin-buiidã ne b yel-wẽnã.”"
"22  Tout cela arriva effectivement pour que s’accomplisse ce qui avait été prononcé par Jéhovah*+ par l’intermédiaire de son prophète+, quand il a dit :",22  Bõn-kãensã fãa maaname sẽn na yɩl t’a Zeova* sẽn kɩt tɩ b no-rɛɛsã yeel bũmb ningã pidsi. A ra yeelame yaa:
"23  “ Voyez ! La vierge*+ deviendra enceinte et mettra au monde un fils, et on l’appellera du nom d’Emmanuel*+ ”, ce qui, traduit, signifie “ Avec nous est Dieu+. ” ","23  “Ges-y-yã! Pa-kuil* n na n dɩk pʋg n dog bi-ribla, la b na n pʋda a yʋʋr t’a Emanuwɛlle, sẽn dat n yeel tɩ “Wẽnd-be-ne-do.” "
"24  Alors Joseph se réveilla de son sommeil et fit comme l’ange de Jéhovah* le lui avait prescrit, et il prit sa femme chez lui.","24  A Zozɛf sẽn neke, a maana wa a Zeova* malɛkã sẽn yeelã. A tɩ peega a pagã n wa a zakẽ."
25  Mais il n’eut pas de relations+ avec elle* jusqu’à ce qu’elle ait mis au monde un fils+ ; et il l’appela du nom de Jésus+.,"25  La a pa tol n kẽ ne-a, hal t’a wa rog bi-ribla, t’a pʋd a yʋʋr t’a Zeezi."
"2  Après que Jésus fut né à Bethléhem+ de Judée, aux jours d’Hérode+ le roi, voyez, des astrologues*+ venus de l’Est arrivèrent à Jérusalem,","2  A Zeezi roga Betlehɛm sẽn be Zide wã, rĩm a Erood* zãmaanẽ. La ade! Ãds-bagb n yi yaang n wa Zerizalɛm,"
"2  en disant : “ Où est celui qui est né roi+ des Juifs ? Car nous avons vu son étoile+ [quand nous étions] dans l’Est*, et nous sommes venus lui rendre hommage. ”","2  n soke: “Zʋɩf-rãmbã rĩm sẽn nan dogã bee yɛ? Bala, tõnd zĩnda yaang n yã bãmb ãdga, n wa n na n waoog-ba.”"
"3  En apprenant cela, le roi Hérode fut troublé, et tout Jérusalem avec lui ;","3  Rĩm a Erood sẽn wʋm dẽ, a yɛɛsame, tɩ Zerizalɛm nebã fãa me yɛɛse."
"4  et, rassemblant tous les prêtres en chef et scribes du peuple, il se mit à leur demander où le Christ* devait naître.","4  A tigma maan-kʋʋdbã taoor dãmb la gʋlsdbã fãa, n sok-b n na n bãng Kiristã* sẽn tog n dog tẽng ningã."
5  Ils lui dirent : “ À Bethléhem+ de Judée ; car c’est ainsi que cela a été écrit par l’intermédiaire du prophète :,"5  Bãmb leoka yẽnda: “Yaa Zide Betlehɛmmã, bala no-rɛɛsã ra gʋlsame n yeele:"
"6  ‘ Et toi, ô Bethléhem*+ du pays de Juda, tu n’es certainement pas [la ville] la plus insignifiante parmi les gouverneurs* de Juda ; car de toi sortira quelqu’un qui gouvernera*+ [et] qui fera paître+ mon peuple, Israël. ’ ” ","6  ‘Zida Betlehɛm, fo pa tẽng sẽn pa poorẽ Zida nanambsã nifẽ ye. Bala, naab n na n yi fo pʋgẽ, n ges Israyɛll nebã sẽn yaa mam nin-buiidã yelle.’ ” "
7  Alors Hérode fit appeler secrètement les astrologues et s’informa exactement auprès d’eux du temps où l’étoile était apparue ;,"7  Rẽ poore, a Erood soosame n bool ãds-bagbã, n fees-b n bãng ãdgã pukr wakate."
"8  et, lorsqu’il les envoya à Bethléhem, il dit : “ Allez, recherchez avec soin le petit enfant et, quand vous l’aurez trouvé, venez me le faire savoir, pour que moi aussi j’aille lui rendre hommage+. ”","8  Nand t’a wilg-b tɩ b kẽng Betlehɛm, a yeel-b lame: “Kẽng-y n tɩ gẽes-y biigã neere, tɩ y sã n yã-a bɩ y wa togs-ma, tɩ ma-me tɩ waoog-a.”"
"9  Quand ils eurent entendu le roi, ils partirent ; et voici que l’étoile qu’ils avaient vue [lorsqu’ils étaient] dans l’Est*+ allait en avant d’eux, jusqu’à ce qu’elle soit venue s’arrêter au-dessus de l’endroit où était le petit enfant.","9  Rĩmã sẽn yeel-b rẽ wã poore, b rɩka sore. La ãdg ning b sẽn da yã b sẽn wa n be yaangã lʋɩɩ b taoore, n tall-b n ta biigã sẽn beẽ wã n yalse."
"10  En voyant l’étoile, oui ils se réjouirent beaucoup.","10  B sẽn yã ãdgã, b sũy yɩɩ noog wʋsgo."
"11  Et quand ils entrèrent dans la maison, ils virent le petit enfant avec Marie sa mère, et, tombant, ils lui rendirent hommage. Ils ouvrirent aussi leurs trésors et lui offrirent des dons : or, oliban et myrrhe.","11  B kẽe roogẽ wã, n yã biigã ne a ma a Maari. B wõgemda biigã taoor n waoog-a, la b yiis sãnem, wisd sẽn yaa pɛɛlg la miir* n kõ-a."
"12  Cependant, parce qu’ils avaient été divinement avertis+ en rêve de ne pas retourner vers Hérode, ils se retirèrent dans leur pays par un autre chemin. ","12  La Wẽnnaam sẽn keoog-b zãmsd pʋgẽ tɩ b ra tũ a Erood nengẽ wã yĩnga, b rɩka sor a to n leb b tẽngẽ wã. "
"13  Après qu’ils se furent retirés, voyez, l’ange de Jéhovah*+ apparut en rêve à Joseph et dit : “ Lève-​toi, prends le petit enfant et sa mère, et fuis en Égypte, et restes-​y jusqu’à ce que je te prévienne ; car Hérode est sur le point de rechercher le petit enfant pour le détruire. ”","13  B loogrã poore, a Zeova* malɛk n vẽneg a meng ne a Zozɛf zãmsd pʋgẽ, n yeel-a: “Yik n dɩk biigã ne a ma wã n zoe n kẽng Ezɩpti, n pa be hal tɩ m le wa gom ne-fo, bala a Erood na n gẽesa biigã sẽn na yɩl n paam-a n kʋ.”"
"14  Il se leva donc, prit le petit enfant et sa mère, de nuit, et se retira en Égypte,","14  Dẽ, a Zozɛf yikame, n tall biigã ne a ma wã ne yʋngo, n kẽng Ezɩpti."
"15  et il y resta jusqu’au décès d’Hérode, pour que s’accomplisse+ ce qui avait été prononcé par Jéhovah* par l’intermédiaire de son prophète, quand il a dit : “ D’Égypte+ j’ai appelé mon fils. ” ",15  A paa be n tãag a Erood kũum. Woto pidsa bũmb ning a Zeova* sẽn da kɩt t’a no-rɛɛsã togsã. A ra yeelame: “Mam boola m biigã t’a yi Ezɩpti.” 
"16  Alors Hérode, voyant qu’il avait été joué par les astrologues*, entra dans une grande fureur, et il envoya supprimer, dans Bethléhem et dans tout son territoire, tous les garçons depuis l’âge de deux ans et au-dessous, selon le temps dont il s’était informé exactement auprès des astrologues+.","16  La a Erood sẽn wa n bãng tɩ ãds-bagbã belg-a lame wã, a sũurã puuga wʋsgo, t’a tʋm tɩ b kẽng Betlehɛm ne a tẽn-kɩremsã, n kʋ kom-dibli nins fãa sẽn zems yʋʋm a yi n tar n sigdã, wa sẽn zems yẽ sẽn da fees ãds-bagbã, n bãng ãdgã pukr wakatã."
"17  Alors s’accomplit ce qui avait été prononcé par l’intermédiaire de Jérémie le prophète, quand il a dit :","17  Woto, no-rɛɛs a Zeremi sẽn da yeel bũmb ningã pidsame. A ra yeelame:"
"18  “ Une voix a été entendue à Rama+, des pleurs et beaucoup de lamentations ; c’était Rachel+ qui pleurait ses enfants, et elle refusait de se laisser consoler, parce qu’ils ne sont plus. ” ","18  “Yãbr la kaasg wʋsg la b wʋmd Rama. Yaa a Rasɛll n yãbd a kambã yĩng n tõt belsgo. Bala, b ka le be ye.” "
"19  Quand Hérode fut décédé, voyez, l’ange de Jéhovah* apparut en rêve+ à Joseph, en Égypte,","19  A Erood sẽn wa n ki wã, a Zeova* malɛk n vẽneg a meng ne a Zozɛf zãmsd pʋgẽ Ezɩpti,"
"20  et dit : “ Lève-​toi, prends le petit enfant et sa mère, et va au pays d’Israël, car ceux qui cherchaient l’âme* du petit enfant sont morts. ”","20  n yeel-a yaa: “Yik n tall biigã ne a ma wã n leb Israyɛll soolmẽ wã. Bala, sẽn da gẽesd-b biigã n na n yãk a yõorã* kiime.”"
"21  Il se leva donc, prit le petit enfant et sa mère, et entra au pays d’Israël.","21  Dẽ, yẽ yikame n tall biigã ne a ma wã n leb Israyɛll soolmẽ wã."
"22  Mais, apprenant qu’Archélaüs régnait en Judée à la place de son père Hérode, il eut peur de s’y rendre. De plus, ayant été divinement averti en rêve+, il se retira dans le territoire de Galilée+","22  La a sẽn wʋm tɩ yaa a Arkelayuus n ledg a ba a Erood n dɩt naam Zide wã, yẽ yɛɛsa be kẽngre. Sẽn paase, Wẽnnaam sẽn kõ yẽ noor zãmsd pʋgẽ wã yĩnga, a kẽnga Galile soolmẽ."
"23  et vint habiter dans une ville appelée Nazareth*+, pour que s’accomplisse ce qui avait été dit par l’intermédiaire des prophètes : “ Il sera appelé Nazaréen*+. ”","23  A tɩ zĩnda tẽng sẽn boond tɩ Nazarɛte, tɩ bũmb ning no-rɛɛsdbã sẽn da yeelã pidsi. B ra yeelame: “B na n boola bãmb tɩ Nazarɛt neda.”*"
"3  En ces jours-​là, Jean* le Baptiste*+ vint prêcher* dans le désert+ de Judée,","3  Kaoosg zugẽ, a Zãmbatiis wa n sɩnga mooneg Zide weoogẽ wã,"
"2  disant : “ Repentez-​vous+, car le royaume des cieux* s’est approché+. ”","2  n yetẽ: “Tek-y yam, bala saasẽ Rĩungã kolgame.”"
"3  C’est celui, en effet, dont il a été parlé par l’intermédiaire d’Isaïe le prophète+, en ces mots : “ Écoute ! Quelqu’un crie dans le désert : ‘ Préparez+ le chemin de Jéhovah*, rendez droites ses routes. ’ ”","3  Sɩd-sɩda, yaa yẽ yell la no-rɛɛs a Ezayi sẽn da gomã. A yeelame: “Ned n zẽkd a koɛɛg weoogẽ wã n yetẽ: ‘Maneg-y-yã a Zeova* so-bukã! Rems-y b soayã tɩ yɩ tɩrse.’ ”"
"4  Mais ce même Jean avait son vêtement en poil+ de chameau et une ceinture de cuir+ autour de ses reins ; sa nourriture, en outre, c’étaient des sauterelles+ et du miel sauvage+.","4  A Zã ra yera fuug sẽn wʋg ne yʋgemd kõbdo, la a sẽbg a sɛɛg ne gãongo. A rɩɩb ra yaa sʋya,* la sɩɩdo."
5  Alors Jérusalem* et toute la Judée et tout le pays des environs du Jourdain sortaient vers lui ;,"5  Nebã ra yita Zerizalɛm la Zide fãa, n paas tẽns nins fãa sẽn be Zʋrdẽ kʋɩlgã noorã n kẽnd yẽ nengẽ,"
"6  et les gens étaient baptisés par lui dans le fleuve du Jourdain+, en confessant ouvertement leurs péchés. ","6  t’a lisd-b* Zʋrdẽ kʋɩlgẽ wã, la b vẽnegd b yel-wẽnã n togsdẽ. "
"7  Quand il aperçut beaucoup de Pharisiens et de Sadducéens+ qui venaient au baptême, il leur dit : “ Progéniture de vipères+, qui vous a suggéré de fuir la colère qui vient+ ?","7  Yẽ sẽn yã Fariziẽ-rãmb la Sadiseẽ-rãmb wʋsg sẽn wat t’a lis-bã, a yeel-b lame: “Yãmb sẽn yaa wag-toos yagensã, ãnda n sagl yãmb tɩ y bao n põs Wẽnnaam sũ-puugrã sẽn watã?"
8  Produisez donc du fruit qui convienne à la repentance*+ ;,"8  Woto wã, bɩ y tʋm tʋʋm sẽn wilgd tɩ y teka yam n kos sugri."
9  et n’ayez pas la présomption de dire en vous-​mêmes : ‘ Pour père nous avons Abraham+. ’ Car je vous dis que de ces pierres Dieu peut susciter des enfants à Abraham+.,9  Ra tags-y tɩ yãmb sẽn paam t’a Abrahaam yaa yãmb ba wã sekame ye. Bala mam yeta yãmb tɩ Wẽnnaam tõe n kɩtame tɩ kug-kãensã lebg a Abrahaam kamba.
10  Déjà la hache+ se trouve mise à la racine des arbres ; tout arbre donc qui ne produit pas de beau fruit sera coupé+ et jeté au feu+.,"10  Larã zoe n bee tɩɩsã yẽgẽ. Dẽnd tɩɩg ning fãa sẽn pa womd bi-sõma, b na n kɛɛg-a lame n lob bugmẽ."
"11  Pour moi, je vous baptise* avec de l’eau+ à cause de votre repentance+ ; mais celui qui vient+ après moi est plus fort que moi, [celui] dont je ne suis pas digne d’enlever les sandales+. Celui-là vous baptisera avec de l’esprit* saint+ et avec du feu+.","11  Sã n yaa ne maam, mam lisda yãmb koomẽ, y sẽn tek yam n kos sugrã yĩnga. La sẽn na n pʋgl-a maamã yɩɩda maam. Mam pa zems tɩ pidg bãmb neooda meng ye. Bãmb na n lisa yãmb ne vʋʋsem sõngo, la ne bugum."
"12  Sa pelle à vanner est dans sa main, et il nettoiera complètement son aire de battage, et il ramassera son blé dans le magasin+ ; mais la bale, il la brûlera+ par un feu qu’il est impossible d’éteindre. ” ","12  Bãmb zãada b kaorg* sẽn tar n yelgdẽ b nugẽ. B na n pɩɩsa b zɛɛgã zãnga, n wʋk koodã* n sui baoorẽ wã, la b yõog wudgã ne bugum sẽn pa tõe n kiisi.” "
"13  Alors Jésus vint de Galilée+ au Jourdain vers Jean, pour être baptisé+ par lui.","13  Rẽ, a Zeezi yii Galile n wa a Zã nengẽ Zʋrdẽ kʋɩlgẽ wã, sẽn na yɩl t’a lis bãmba."
"14  Mais celui-ci voulait l’en empêcher, en disant : “ C’est moi qui ai besoin d’être baptisé par toi, et toi, tu viens à moi ? ”","14  La a Zã baoome n na n gɩdg-ba, n yeele: “Yaa yãmb n da segd n lis maam. La bõe yĩng tɩ yãmb wat mam nengẽ?”"
"15  En réponse Jésus lui dit : “ Laisse faire cette fois, car c’est ainsi qu’il nous convient d’accomplir tout ce qui est juste+. ” Alors il cessa de l’en empêcher.","15  T’a Zeezi leoke: “Bas tɩ yɩ woto nanda, bala, segdame tɩ d maan bũmb nins fãa Wẽnnaam sẽn yeelã.”* Rẽ poore, a pa le gɩdg-b ye."
"16  Après avoir été baptisé, Jésus aussitôt remonta de l’eau ; et, voyez, les cieux s’ouvrirent+, et il vit descendre comme une colombe+ l’esprit de Dieu qui venait sur lui+.","16  A Zeezi sẽn lis koomẽ wã, tao-tao bala b le pukame. La saasã pakame, t’a Zã yã vʋʋsem sõngã sẽn wõnd marwall t’a sigd bãmb zugu."
"17  Voyez ! Il y eut en outre une voix+ venant des cieux qui disait : “ Celui-ci est mon Fils+, le bien-aimé+, que j’ai agréé+. ”","17  Sẽn paase, koɛɛg n yi saasẽ, n yeele: “Yãoã yaa mam Bi-ribla, mam sẽn nong a soabã. A taa mam yam.”"
"4  Alors Jésus fut conduit par l’esprit dans le désert+, pour être tenté+ par le Diable.","4  Rẽ poore, vʋʋsem sõngã talla a Zeezi n kẽng weoogẽ, sẽn na yɩl tɩ Sʋɩtãanã* mak bãmba."
"2  Après avoir jeûné quarante jours et quarante nuits+, alors il eut faim.","2  B loee noor wĩndg la yʋng rasem pis-naase, tɩ kom yõk-ba."
"3  De plus, le Tentateur+ vint et lui dit : “ Si tu es un fils de Dieu+, dis à ces pierres qu’elles deviennent des pains. ”",3  La Makdã kolgame n yeel-b yaa: “Fo sã n yaa Wẽnnaam bi-ribl bɩ f yeel kug-kãensã tɩ b lebg buri.”
"4  Mais en réponse il dit : “ Il est écrit : ‘ L’homme doit vivre, non pas de pain seul, mais de toute parole qui sort par la bouche de Jéhovah*+. ’ ” ",4  La bãmb leokame yaa: “B gʋlsame: ‘Ninsaal pa tog n vɩ ne rɩɩb bal ye. A tog n vɩɩ ne gomd ning fãa sẽn yit a Zeova* noorẽ wã me.’ ” 
"5  Alors le Diable l’emmena dans la ville sainte+, et il le plaça sur le parapet du temple","5  Rẽ poore, Sʋɩtãanã* talla bãmb n kẽng tẽn-sõngẽ wã, n tɩ rʋʋs-b wẽnd-doogã zugu,*"
"6  et lui dit : “ Si tu es un fils de Dieu, jette-​toi en bas+ ; car il est écrit : ‘ Il donnera à ses anges un ordre à ton sujet, et ils te porteront sur leurs mains, de peur que tu ne heurtes une pierre avec ton pied+. ’ ”","6  n yeel bãmb yaa: “Fo sã n yaa Wẽnnaam bi-ribla, bɩ f bas f meng n lʋɩ tẽnga, bala b gʋlsame: ‘Bãmb na n kõo b malɛgsã noor tɩ b gũ foom,’ la ‘malɛgsã na n koka foom ne b nusi, tɩ f naoor da wa lak kugr ye.’ ”"
7  Jésus lui dit : “ Il est encore écrit : ‘ Tu ne dois pas mettre Jéhovah* ton Dieu à l’épreuve+. ’ ” ,7  A Zeezi yeela yẽ yaa: “B le gʋlsame: ‘Da mak a Zeova* fo Wẽnnaamã ye.’ ” 
"8  Le Diable l’emmena encore sur une montagne extraordinairement haute et lui montra tous les royaumes du monde*+ et leur gloire,","8  Sʋɩtãanã* le talla bãmb n kẽng tãn-lug-lug zugu, n wilg bãmb dũniyã soolem toɛy-toɛyã fãa ne b ziirã."
"9  et il lui dit : “ Toutes ces choses, je te les donnerai+ si tu tombes et fais un acte d’adoration pour moi+. ”","9  La a yeela bãmb yaa: “Fo sã n wõgemd n waoog maam, m na n kõ-f-la bõn-kãensã fãa.”"
"10  Alors Jésus lui dit : “ Va-​t’en, Satan, car il est écrit : ‘ C’est Jéhovah* ton Dieu que tu dois adorer+, et c’est à lui seul+ que tu dois offrir un service sacré*+. ’ ”","10  T’a Zeezi leok-a yaa: “Sʋɩtãana, looge! Bala b gʋlsame: ‘Yaa fo Wẽnnaam a Zeova* bal la fo segd n waooge, la yaa bãmb b ye bal la fo segd n sak ne f sũur fãa.’ ”"
"11  Alors le Diable le laissa+, et, voyez, des anges vinrent et se mirent à le servir+. ","11  Dẽ, Sʋɩtãanã* loog n basa bãmba. La malɛgs n wa n sõng bãmba. "
"12  Or, quand il apprit que Jean avait été arrêté+, il se retira en Galilée+.","12  A Zeezi sẽn wa n wʋm tɩ b yõka a Zã wã, bãmb kẽnga Galile."
"13  En outre, après avoir quitté Nazareth, il vint s’établir à Capernaüm+, au bord de la mer, dans le territoire de Zéboulôn et de Naphtali+,","13  Bãmb sẽn yi Nazarɛte, b tɩ zĩnda Kapɛrnawum sẽn be mogrã noore, Zebulõ la Naftali soolmẽ wã,"
"14  pour que s’accomplisse ce qui avait été prononcé par l’intermédiaire d’Isaïe le prophète, quand il a dit :",14  tɩ no-rɛɛs a Ezayi sẽn da yeel bũmb ningã pidsi. A ra yeelame:
"15  “ Ô pays de Zéboulôn et pays de Naphtali, au bord de la route de la mer, de l’autre côté du Jourdain, Galilée+ des nations !","15  “Zebulõ tẽngã la Naftali tẽngã sẽn be mogrã sor noorã, Zʋrdẽ kʋɩlgã rʋʋnde, Galile sẽn yaa bu-zẽms soolmã,"
"16  le peuple assis dans les ténèbres+ a vu une grande lumière+, et quant à ceux qui sont assis dans une région d’ombre mortelle, sur eux s’est levée+ la lumière+. ”","16  neb nins sẽn zĩ lik pʋgẽ wã yãa vẽenem-kãsenga, la vẽenem puka sẽn zĩ-b tẽng ning kũum maasem sẽn bui wã yĩnga.”"
"17  À partir de ce moment, Jésus commença à prêcher et à dire : “ Repentez-​vous+, car le royaume+ des cieux s’est approché. ” ","17  Rẽ tɛka, a Zeezi sɩnga mooneg n yetẽ: “Tek-y yam n kos sugri, bala, saasẽ Rĩungã kolgame.” "
"18  En marchant le long de la mer de Galilée, il vit deux frères, Simon+ qu’on appelle Pierre+ et André son frère, en train de jeter un filet de pêche dans la mer, car c’étaient des pêcheurs.","18  B sẽn wa n kẽnd Galile mogrã noore, b yãa rap a yiib sẽn yaa ba-biisi. Yaa a Sɩmo b sẽn boond me t’a Pɩyɛɛrã, la a ba-biig a Ãndere. B ra lobda zĩm-gãmbr mogrã pʋgẽ, bala b ra yaa zĩm-yõgdba."
"19  Et il leur dit : “ Venez à ma suite, et je vous ferai pêcheurs d’hommes+. ”","19  La bãmb yeel-b lame yaa: “Wa n tũ-y maam, tɩ mam na n kɩtame tɩ y yõg neba, wa y sẽn yõgd zĩmã to-to wã.”"
"20  Abandonnant aussitôt les filets+, ils le suivirent.","20  Zĩig pʋgẽ, b basa b zĩm-gãmba wã n pʋg bãmba."
"21  Et avançant de là, il en vit deux autres+ [qui étaient] frères, Jacques [le fils] de Zébédée+ et Jean son frère, dans le bateau avec Zébédée leur père, en train de réparer leurs filets, et il les appela.","21  B sẽn yi be, b yãa rap a yiib me sẽn yaa ba-biisi. Yaa a Zebede biig a Zak ne a ba-biig a Zã. B ra bee koom-koglg pʋg ne b ba a Zebede, n manegd b zĩm-gãmba, t’a Zeezi bool-ba."
"22  Laissant aussitôt le bateau et leur père, ils le suivirent. ","22  Zĩig pʋgẽ, b basa koom-koglgã ne b ba wã, n pʋg bãmba. "
"23  Alors il se mit à parcourir+ toute la Galilée+, enseignant dans leurs synagogues+, prêchant la bonne nouvelle* du royaume et guérissant toutes sortes de maladies+ et toutes sortes d’infirmités parmi le peuple.","23  A Zeezi saaga Galile soolmã fãa, n zãms nebã karen-dotẽ, la b moon Rĩungã koe-noogã, n sãoog bãas buud fãa, la komslem buud fãa."
"24  Et la rumeur à son sujet sortit dans toute la Syrie+ ; et on lui amena tous ceux qui allaient mal+, oppressés par des maladies et des tourments divers, des gens possédés de démons, ainsi que des épileptiques+ et des paralysés, et il les guérit.","24  Bãmb yʋʋr saaga Siiri soolmã fãa. La neb talla sẽn namsd-b ne bãas la tood buud toor-toore, zĩn-dãmb sẽn namsd b rãmbã, n paas sẽn lʋɩt-b kĩsinkĩiri, la koms-rãmb n wa bãmb nengẽ, la bãmb sãoog-b lame."
"25  Alors de grandes foules le suivirent, venues de la Galilée+, et de la Décapole*, et de Jérusalem+, et de la Judée, et de l’autre côté du Jourdain.","25  Rẽ kɩtame tɩ neb kʋʋng yi Galile, Dekapolle,* Zerizalɛm, Zide la Zʋrdẽ kʋɩlgã rʋʋnd n pʋg bãmba."
"5  Quand il vit les foules, il monta dans la montagne ; et après qu’il se fut assis, ses disciples vinrent auprès de lui ;","5  A Zeezi sẽn yã kʋʋngã, b rʋʋ tãngã zug n zĩndi, tɩ b karen-biisã wa b sɛɛgẽ."
"2  et il ouvrit la bouche et se mit à les enseigner, en disant : ","2  Dẽ, bãmb sɩngame n zãmsd bãmba, n yeele: "
