,fr_sentence,mos_sentence
21,"D’autres lois touchaient à la vie conjugale , telles celles qui spécifiaient les périodes d’abstinence sexuelle .","( Tõodo 22 : 28 , 29 ) Noy a taab n da be kãadmã wɛɛngẽ , wala sasa nins b sẽn da segd n lak b mens ne pag ne rao lagengã ."
22,Quelles prescriptions concernaient les fiançailles ?,"( Maankʋʋre 12 : 2 , 5 ; 15 : 24 ; 18 : 19 ) Noy bʋs n da be kãadem pʋlengã wɛɛngẽ ?"
23,"En Israël , la loi conférait un statut différent à une jeune fille selon qu’elle était fiancée ou non ; sous certains aspects , une fiancée était considérée comme une femme mariée .",Israɛll poak sẽn da pʋlem kãadem sẽn da be zĩig ning Tõogã taoorã ra yaa toor ne pag sẽn pa pʋlem kãadem .
24,Il était défendu aux Israélites de se fiancer ou de se marier avec certains membres de leur famille .,"Zĩis kẽer pʋsẽ , b ra geta sẽn pʋlma kãadmã wa a sẽn kẽ kãadem bala ."
25,"Cette interdiction concernait généralement des parents par le sang , mais elle pouvait également s’appliquer pour des questions de droits d’héritage .","( Tõodo 22 : 23 - 29 ; Matɩe 1 : 18 , 19 ) Israɛll nebã ra pa segd n pʋlem kãadem bɩ n kẽ kãadem ne neb kẽer b sẽn kĩ ne ye ."
26,Il est donc clair que les serviteurs de Dieu ne devaient pas prendre les fiançailles à la légère .,"Naoor wʋsgo , nin - kãens ra yaa rogem ne taaba , la kãadem pʋlems la kãadem kẽer da gɩdgame , rogem pʋɩɩrã yĩnga ."
27,"Si les Israélites étaient tenus de respecter toutes les prescriptions de la Loi relatives aux fiançailles et au mariage , ce n’est pas le cas des chrétiens , puisqu’ils ne sont pas sous cette Loi .","( Maankʋʋre 18 : 6 - 20 ; ges - y yʋʋmd 1978 Gũusg Gasgã , sigr kiuug rasem 15 , seb - vã - nens 25 - 8 . ) Yaa vẽeneg tɩ Wẽnnaam sõgen dãmbã ra pa segd n ges kãadem pʋlengã faasg - faasg ye ."
28,"En fait , Jésus a enseigné que le mariage chrétien ne relevait pas des mêmes normes que celui de la Loi .","Israɛll nebã ra segd n tũu Tõogã no - kãensã , la kiris - nebã pa tũud Tõogã ne a noyã sẽn tɩ loe ne kãadem pʋleng la kãadmã ye ."
29,,"( Rom dãmba 7 : 4 , 6 ; Efɛɛz rãmba 2 : 15 ; Hebre dãmba 8 : 6 , 13 ) Sɩda , a Zezi wilgame tɩ kiris - nebã sẽn segd n tũ noy nins kãadmã wɛɛngẽ wã ra yaa toor ne Tõogã rẽnda ."
30,Reste qu’il n’a pas pour autant minimisé le caractère sérieux du mariage et des fiançailles .,"( Matɩe 19 : 3 - 9 ) Baa ne rẽ fãa , a pa wilg tɩ kãadmã ne kãadem pʋlengã yaa reem bũmb ye ."
31,"Que dire , donc , des fiançailles chez les chrétiens ?","Woto , kãadem pʋlengã yõod kiris - nebã sʋk taa zĩ - bʋgo ?"
32,"Dans de nombreux pays , il appartient à chaque individu de choisir son futur conjoint .","Tẽns wʋsg pʋsẽ , nebã n yãkd b sẽn dat n kẽ kãadem ne a soaba b toore ."
33,"Une fois qu’un homme et une femme se sont promis en mariage , on les considère comme fiancés .","Pag ne rao sã n pʋlem tɩ b na n kẽe kãadem ne taab bala , b getame tɩ b pʋlma taab kãadem yĩnga ."
34,"D’ordinaire , aucune autre démarche formelle n’est requise pour officialiser les fiançailles .","Naoor wʋsgo , bũmb ye pa be b sẽn baood n paas ne rẽ sẽn na yɩl n wilg tɩ b pʋlma taab kãadem ye ."
35,"En certains endroits , le fiancé offre une bague à sa future femme en témoignage de son engagement .","Baasg zãnga , zĩis kẽere , yaa bũmb sẽn wɛ tɩ rao wã kõ a beoog - daar pagã nug - bĩng sẽn wilgd tɩ b pʋlma taab kãadem ."
36,"Il peut être également d’usage d’annoncer les fiançailles à la famille et aux amis au cours , par exemple , d’un repas ou d’une petite réunion de famille .","Bɩ b minimame n togsd roagdbã la zo - rãmbã tɩ b pʋlma taab kãadem , rɩɩb ne zakã rãmb wakat bɩ tigis - bil a to sasa ."
37,"Il s’agit là de décisions personnelles , et non d’obligations bibliques .",Woto yaa ned fãa n get a sẽn na n maan to - to lakae pa Biiblã n yet tɩ b maan woto tɩlae ye .
38,C’est l’accord entre les deux futurs conjoints qui scelle les fiançailles * .,Bũmb ning sẽn wilgd tɩ pʋlem n na n kẽe kãadem ne taabã yaa neb a yiibã sẽn na n zems taab n sak woto .
39,"En matière de fréquentations , de fiançailles ou de mariage , un chrétien ne devrait jamais se précipiter .","* Kiris - ned pa segd n yɩ yãg - yãg n sɩng roobo , kãadem pʋleng bɩ n kẽ kãadem ye ."
40,"À ce sujet , nous publions régulièrement des écrits bibliques qui peuvent aider les célibataires à voir s’il est sage pour eux d’entamer des fréquentations , d’envisager de se fiancer ou de penser au mariage * .",Tõnd yiisda zãmsg sɛb pʋsẽ sẽn tik Biiblã zug sẽn tõe n sõng neb nins sẽn pa kẽ kãadmã tɩ b rɩk sard n bãng sã n yaa yam bũmb tɩ b sɩng roob bɩ b sɩng n baood n na n maan kãadem pʋleng bɩ n kẽ kãadem .
41,L’un des principaux facteurs à prendre en compte dans cette réflexion est le caractère permanent du mariage chrétien . — Genèse 2 : 24 ; Marc 10 : 6 - 9 .,* Sagl - kãseng sẽn be yaa tɩ kiris - ned kãadem yaa kãadem sẽn be wakat fãa . — Sɩngre 2 : 24 ; Mark 10 : 6 - 9 .
42,Deux chrétiens devraient bien se connaître l’un l’autre avant de penser à se fiancer .,Kiris - neb a yiib segd n bãnga taab sõma n yaool n sɩng n tags kãadem pʋleng yelle .
43,Chacun d’eux peut se demander à propos de l’autre : ‘ Suis - ​ je vraiment sûr ( e ) de sa spiritualité et de son attachement à Dieu ?,Ned fãa tõe n sʋka a meng tɩ ‘ M sɩd kɩsa sɩd ne a tẽebã la a Wẽn - zoeerã bɩ ?
44,Puis - ​ je envisager sereinement de servir Dieu avec lui ( ou elle ) toute ma vie ?,Mam tõe n geela Wẽnnaam sõgeneg ne nin - kãngã m vɩɩmã tõr bɩ ?
45,Avons - ​ nous suffisamment dévoilé notre personnalité l’un à l’autre ?,D paam n bãnga taab zʋg - sõma bɩ ?
46,Suis - ​ je convaincu ( e ) que nous continuerons à nous entendre ?,M kɩsa sɩd tɩ d sẽn tog ne taabã na n kaoosame bɩ ?
47,En savons - ​ nous assez sur la vie passée et présente l’un de l’autre ? ’,"Tõnd mii ned kam fãa pĩnd tʋʋma , la a yɛlã sẽn yaa to - to masã wã tɩ sek bɩ ? ’"
48,"Une fois que deux chrétiens sont fiancés , tous deux , mais aussi les autres , s’attendent logiquement à ce que le mariage s’ensuive .","Kiris - neb a yiib sã n pʋlem taab kãadem n sa , zemsame tɩ bãmb ne neb a taabã tags tɩ yaa kãadmã n pʋgde ."
49,"“ Que votre mot Oui signifie simplement Oui , votre Non , Non ” , a dit Jésus .","A Zezi sagla woto : “ Bɩ yãmb n - ye , yɩ n - ye , la ayo , yɩ ayo . ”"
50,Les chrétiens qui se fiancent ne doivent pas l’oublier .,"( Matɩe 5 : 37 , NW ) Kiris - neb sẽn pʋlem taab kãadem segd n togsame tɩ b bãnge ."
51,Reste qu’il peut arriver exceptionnellement qu’un chrétien fiancé découvre qu’on lui a tu ou caché quelque chose de grave avant les fiançailles .,"Baasg zãnga , tõe n wa zĩndame la yaa kar - kare , tɩ kiris - ned sẽn pʋlem kãadem wa bãng tɩ bũmb sẽn pa reem yell la b ra pa wilgi , bɩ b ra solga yella tɩ b nan pa pʋlem taab kãadmã yĩng ye ."
52,"Il peut s’agir d’un fait important concernant le passé de l’autre , peut - être même d’actes criminels ou impurs .","Rẽ tõeeme n tɩ loe ne yel - kãseng ned a to wã pĩnd vɩɩm zugu , wala bi - be - tʋʋm meng bɩ yoob tʋʋma ."
53,Le chrétien mis au courant décidera alors ce qu’il lui convient de faire .,Kiris - ned a to wã sẽn wa n bãng rẽ wã tõe n dɩka sard ne a sẽn na n maan bũmb ninga .
54,"Peut - être les deux fiancés , après avoir discuté à fond de la question , conviendront - ​ ils de poursuivre leurs fiançailles .",Tõe tɩ neb a yiibã gom yellã zug sõma n sak n gãd b kãadem pʋlengã ne taabã .
55,À moins qu’ils ne décident d’un commun accord de les rompre .,Bɩ b tõe n zemsa taab n dɩk sard n bas kãadmã pʋleng ne taabã tɩ lʋɩ .
56,"Le fait qu’il s’agisse d’une affaire privée dont des tiers n’ont pas à se mêler , à essayer de prévoir l’issue ou sur laquelle ils n’ont pas à porter de jugement , n’enlève rien à son extrême gravité .","Baa ne rẽ sẽn yaa yell sẽn pak bãmb b yiibã balã , tɩ pa bũmb neb a taabã sẽn segd n kẽes b toog a pʋgẽ n mak n bao n bãng yellã võor bɩ b kao bʋʋdã , yaa sard sẽn zɩs wʋsgo ."
57,"Peut - être celui qui n’avait pas été informé d’un fait sérieux s’estimera - ​ t - ​ il personnellement obligé de mettre un terme aux fiançailles , même si l’autre personne n’est pas d’accord . — Voir “ Questions des lecteurs ” dans notre numéro du 15 septembre 1975 .","Sã n yaa ne zĩig a to wã me , ned ning sẽn bãng yellã sẽn pa reem yellã tõeeme n dat n bas kãadmã pʋleng tɩ lʋɩ , baa ned a to wã sã n pa rat tɩ b base . — Ges - y “ Karemdbã sʋgsgo , ” sẽn be yʋʋmd 1975 Gũusg Gasgã pʋgẽ , bõn - bɩʋʋng kiuug rasem 15 , seb - vã - neng 574 ."
58,"Pareilles questions doivent être réglées avant le mariage , et ce pour une bonne raison : Jésus a montré que le seul motif biblique d’un divorce autorisant un remariage est la pornéïa , une grave impureté sexuelle de la part du conjoint .",Bʋʋm sẽn tar pãng beeme n wilgdẽ tɩ b segd n welga zu - loees kãensã tɩ kãadmã nan da kẽ ye . A Zezi yeelame tɩ bʋʋm yɛng sẽn tõe tɩ b kao kãadem tɩ ned paam sor n lebs n kẽ kãadem yaa porneia sẽn yaa yoob tʋʋmd kẽed - n - taag a to wã sẽn maan yĩnga .
59,Il n’a pas dit qu’on pouvait mettre fin à un mariage en divorçant si l’on découvrait un problème ou un péché grave antérieur au jour des noces .,"( Matɩe 5 : 32 ; 19 : 9 ) A pa yeel tɩ kãadem kaoob tõe n saasa kãadem sẽn kẽ tɩ zems ne noyã , f sã n bãng tɩ yel - kãseng bɩ wẽng maaneg sẽn deng kãadmã n zĩnd ye ."
60,"Par exemple , à l’époque de Jésus personne n’était à l’abri de la lèpre .","Wala makre , a Zezi wakatã , wãood ra tõe n yõka ned vẽenega ."
61,"Si un Juif apprenait que sa femme était lépreuse au moment de leur mariage ( qu’elle l’ait su ou non ) , pouvait - ​ il divorcer d’avec elle pour ce motif ?","Rao sẽn yaa Zʋɩf sã n da bãng t’a pãgã ra yaa wãoor ( tɩ pagã ra miẽ bɩ a ra pa miẽ ) b sẽn da kẽed kãadem ne taaba sasa , rao wã ra tara tikr n na n kao kãadem ne a pagã bɩ ?"
62,"Sous la Loi , un Juif pouvait le faire .","Zʋɩf sẽn da be Tõogã pʋgẽ da tõe n maana woto , la a Zezi pa yeel tɩ woto ra zemsa ne a karen - biisã ye ."
63,Mais Jésus n’a pas dit que ses disciples le pouvaient .,Ges - y makr kẽer tõnd wakatã .
64,Considérons quelques situations susceptibles de se produire de nos jours .,"Rao sẽn tar tũma bɩ taoor bãag a to , SIDA wã bɩ bã - bẽegdem a to sẽn yaa yell tõe n kẽe kãadem n pa togs ye ."
65,"Un homme pourrait avoir contracté la syphilis , l’herpès génital , le VIH ou toute autre maladie transmissible grave et ne pas l’avoir révélé au moment de son mariage .","Tõe tɩ bãagã bẽeg - a - la ne yoob tũnugri , sẽn deng kãadmã pʋleng bɩ a wakate ."
66,Peut - être cette maladie est - ​ elle consécutive à une conduite sexuellement impure qu’il a eue avant ou pendant les fiançailles .,"Pagã sã n wa bãng a sɩdã bãagã bɩ yoob ning a sɩdã sẽn yo pĩndã ( bɩ t’a pa tõe n paam kamb bɩ a pa rao menga ) , rẽ pa viigd b kãadmã ye ."
67,Que sa femme apprenne par la suite l’existence de cette maladie ou de ce passé immoral ( peut - être cause de stérilité ou d’impuissance ) ne change rien au fait qu’ils sont maintenant mariés .,Vɩ - wẽng ned sẽn tall sẽn deng kãadmã pa tikr sẽn sakd ne Biiblã tɩ b na n saas kãadem ye .
68,Un passé prénuptial aussi rebutant n’est bibliquement pas suffisant pour mettre un terme au mariage .,
69,Ce ne le serait pas davantage si c’était elle qui avait contracté une maladie ou même si elle était enceinte d’un autre homme au moment du mariage .,"Yaa woto me ne pagã , bãag sã n da bẽeg - a lame , bɩ a solga pʋg a sẽn dɩk rao a to nengẽ meng a sẽn da wa n kẽed kãadmã ."
70,Ils sont désormais mariés et se sont engagés l’un envers l’autre .,Masã wã b kẽe kãadem n pʋlem taab rẽ zugu .
71,"Ces situations déplorables sont heureusement rares , mais elles devraient nous pénétrer un peu plus de cette idée fondamentale : les fiançailles ne sont pas à prendre à la légère .","Bũmb sẽn be yaa tɩ yel - kãensa buud pa wɛ ye , la mak - kãensã segd n wilga woto n paas sõma : Pʋlem taab kãadem yĩngã pa bũmb b sẽn segd n ges faasg - faasg ye ."
72,"Avant et pendant les fiançailles , les chrétiens doivent s’efforcer d’apprendre à bien se connaître .","Sẽn deng pʋlem taab kãadmã la a wakate , kiris - nebã segdame n mao n bãng taab sõma ."
73,Ils ont le devoir de montrer honnêtement ce que l’autre veut ou est en droit de savoir .,"B segd n yɩɩ pʋ - peelem dãmba , n togs ned fãa sẽn dat n bãngã , bɩ n togs ned fãa sẽn tar sor n na n bãng yɛl ninsã ."
74,"( Dans certains pays , la loi fait obligation aux couples de subir un examen médical prénuptial .","( Tẽns kẽer pʋsẽ , sã n yaa ne laloa wã kẽed - n - taasã segd n maana logtor yir yĩn - vaeesg sẽn deng kãadmã ."
75,On peut souhaiter cet examen pour sa propre information . ),Neb a taab tõe n dat n maana vaees - kãng b mens sẽn dat n dɩ kɩbar yĩnga . )
76,"De cette manière , la joie et le sérieux des fiançailles serviront un objectif honorable en aidant les deux futurs conjoints à se préparer aux joies et aux responsabilités plus grandes encore du mariage . — Proverbes 5 : 18 , 19 ; Éphésiens 5 : 33 .","Woto , pʋlem taab kãadem yĩnga sũ - noog la a sẽn pa reem yellã na n yɩɩ waoogr bũmbu , neb a yiibã sã n kẽngd taoor n debd kãadmã zĩigẽ meng sẽn kõt sũ - noog n yɩɩd la a pa reem yellã . — Yelbũna 5 : 18 , 19 ; Efɛɛz rãmba 5 : 33 ."
77,[ Notes ],[ Tẽngr not rãmbã ]
78,Il existe encore des sociétés au sein desquelles ce sont les parents qui arrangent les fiançailles de leurs enfants .,"Buud kẽer pʋsẽ , yaa roagdbã n ket n baood kẽed - n - taas n kõt b kambã ."
79,Il arrive que ces décisions soient prises alors que ces derniers ne sont pas encore en situation de se marier .,"B tõe n maana woto , tɩ neb a yiibã nan pa ta kãadem kõom ye ."
80,"Dans l’intervalle , on les considère comme fiancés , ou promis l’un à l’autre , mais ils ne sont pas encore mariés .","Nand tɩ wakat kãng ta , b sakd n deegame tɩ b na n kẽe kãadem ne taaba , bɩ b pʋlem - b - la kãadem ne taaba , la b nan pa kẽ kãadem ye ."
81,"Voir les livres Les jeunes s’interrogent — Réponses pratiques ( chapitres 28 - 32 ) et Le secret du bonheur familial ( chapitre 2 ) , publiés par les Témoins de Jéhovah .","Ges - y Les Jeunes s’interrogent : réponses pratiques sags 28 - 32 , la Zak pʋgẽ sũ - noogã kʋɩleng - biiga , sak a 2 , Watchtower Bible and Tract Society of Pennsylvania sẽn yiisi ."
82,Ne reculons jamais pour la destruction !,Bɩ d ra tol n targ n sãam ye !
83,“ Nous ne sommes pas de ceux qui reculent pour la destruction . ” — HÉBREUX 10 : 39 .,"“ Tõnd ka neb nins buud sẽn tardã , n sãam ye . ” — HEBRE DÃMBA 10 : 39 , NW ."
84,En quelles circonstances Pierre a - ​ t - ​ il cédé à la peur ?,Yel - bʋs n kẽes tʋm - tʋmd a Pɛɛr dabeem ?
85,"LES apôtres ont dû être déconcertés d’entendre Jésus , leur Maître bien - aimé , leur annoncer qu’ils allaient tous se disperser et l’abandonner .",RA SEGD n linga tʋm - tʋmdba wʋsg b Zusoab a Zezi b sẽn nongã sẽn wa n yeel - b tɩ b fãa ra na n sãeeg n bas - a lame wã .
86,Comment pourraient - ​ ils faire une chose pareille ?,"Wãn - wãn la yell a woto ra tõe n yɩ , sasa ning a sẽn da rat - b n yɩɩdã ?"
87,Et justement au moment où il aurait le plus besoin d’eux !,"A Pɩɛɛr da wɩngda woto : “ Baa neba fãa sã n leb poorẽ , mam kõn leb poorẽ ye . ”"
88,"Pierre n’en démord pas : “ Même si tous les autres trébuchent , moi pourtant je ne trébucherai pas .","Sɩd - sɩda , a Pɩɛɛr da yaa ned sẽn tar daoodo , n pa yɛɛsd bũmb ye ."
89,"” Pierre est un homme courageux , hardi même .","La b sẽn wa n zãmb a Zezi n yõkã , tʋm - tʋmdbã n paas a Pɩɛɛr sãeegame ."
90,"Mais quand Jésus est trahi et arrêté , les apôtres se dispersent bel et bien , Pierre comme les autres .","Kaoosg poore , b sẽn da wa n maand a Zezi sʋgsg Maankʋʋd Kãsem a Kayɩf zakẽ wã , a Pɩɛɛr ra zĩi be n tadgdẽ , ne yɩɩre ."
91,"Plus tard , tandis que Jésus a été amené chez le grand prêtre Caïphe pour y être interrogé , c’est un Pierre inquiet que nous retrouvons déambulant dans la cour .","Sẽn da yaa waood wakat tɩ zĩigã tar zʋʋgrã , yaa wa a Pɩɛɛr wa n yɛɛsa b na n wa kʋ a Zezi ne ned ning fãa sẽn lagem ne - a ."
92,"Alors que la nuit froide s’avance , sans doute la peur commence - ​ t - ​ elle à s’insinuer en lui : et si Jésus et tous ceux qui l’accompagnaient étaient exécutés ?","Neb kẽer sẽn da yas ne a Pɩɛɛr sẽn bãng t’a ra yaa a Zezi tũud - n - taag a yembrã , rabeem yõka a Pɩɛɛre ."
93,"Lorsque plusieurs personnes le reconnaissent comme l’un des proches de Jésus , il est saisi de panique .",A zãgsa naoor a tãab t’a pa tar lagem - n - taar ne a Zezi ye .
94,"Trois fois , Pierre va désavouer ses liens avec Jésus , et même nier le connaître . — Marc 14 : 27 - 31 , 66 - 72 .","A Pɩɛɛr kɩɩsame n yeel meng t’a pa mi - a ye ! — Mark 14 : 27 - 31 , 66 - 72 ."
95,a ) Pourquoi la peur qui a saisi Pierre la nuit de l’arrestation de Jésus n’a - ​ t - ​ elle pas fait de lui l’un “ de ceux qui reculent pour la destruction ” ?,a ) Bõe yĩng t’a Pɩɛɛr sẽn zoe rabeem yʋng ning b sẽn yõk a Zezi wã pa kɩtd ‘ t’a yaa ned sẽn targe ’ ?
96,b ) À quoi devrions - ​ nous être déterminés ?,b ) D segd n dɩka sard kãn - kãe bʋgo ?
97,"Pierre a dû avoir le sentiment de toucher le fond , et sans doute a - ​ t - ​ il regretté ce moment tout le reste de son existence .","Woto yɩɩ pãn - komsem sasa a Pɩɛɛr vɩɩmã pʋgẽ . Sãmbg sẽn ka be , yɩɩ sasa a sẽn maan m bãngẽ a yõorã tɛka ."
98,"Sa conduite cette nuit - ​ là a - ​ t - ​ elle pour autant fait de lui un lâche , l’un “ de ceux ” dont l’apôtre Paul écrira plus tard qu’ils “ reculent pour la destruction ” ?",La a Pɩɛɛr manesmã baraar yʋngã kɩtame t’a yɩ rabɛɛm bɩ ? Rẽ kɩtame t’a yɩ wa “ neb ” nins yell a Poll sẽn bilg kaoosg poor a sẽn wa n gʋls tɩ : “ Tõnd ka neb nins sẽn na n targ n sãama ” bɩ ?
99,La plupart d’entre nous répondraient non .,( Hebre dãmba 10 : 39 ) Tõnd wʋsg sẽn yɩɩd na n sak n deegame t’a Poll goamã pa tɩ loe ne a Pɩɛɛr ye .
